ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Common Gallinule,1,1,1,1,1,1,1,1,1,0,0,1.930799286,1.070835913,2.851248888,4.972193001,2.73192723,8.238842961,Gallinula_galeata,6
Common Goldeneye,1,1,1,1,1,1,1,1,1,0,0,0.392580264,-0.397989261,1.01493331,2.836254117,1.010312838,5.003093753,Bucephala_clangula,6
Common Grackle,1,1,1,1,1,1,1,1,1,0,0,-4.16308631,-5.595996103,-2.976704555,-3.09119453,-5.950140996,0.062170241,Quiscalus_quiscula,6
Common Loon,1,1,1,1,1,1,1,1,1,0,0,1.019032474,0.651952614,1.363680735,-0.124064804,-0.554974272,0.801349675,Gavia_immer,6
Common Merganser,1,1,1,1,1,1,1,1,1,0,0,1.874958063,-0.048050463,4.659110566,5.677743857,0.781266117,20.47245771,Mergus_merganser,6
Common Murre,1,1,1,1,1,1,1,1,1,0,0,-1.698469325,-5.587180479,0.95198802,-8.659032331,-18.09359681,0.828115171,Uria_aalge,6
Common My,1,1,1,0,0,0,0,0,0,,,,,,,,,Acridotheres_tristis,2
Common Nighthawk,1,1,0,0,0,0,0,0,0,,,,,,,,,Chordeiles_minor,1
Common Pauraque,1,1,1,1,1,1,1,1,1,0,0,-1.352846916,-2.37070178,-0.340724121,3.402453428,-0.511140249,7.622455168,Nyctidromus_albicollis,6
Indian Peafowl,1,1,1,0,0,0,0,0,0,,,,,,,,,Pavo_cristatus,2
Common Poorwill,1,1,1,0,0,0,0,0,0,,,,,,,,,Phalaenoptilus_nuttallii,2
Common Raven,1,1,1,1,1,1,1,1,1,0,0,3.90459349,2.61682167,5.077762722,0.061199424,-3.281785652,3.768759238,Corvus_corax,6
Common Tern,1,1,1,1,1,1,1,1,1,0,0,-6.579761746,-7.980082354,-5.301827633,-1.112121198,-6.349218098,4.705368494,Ster_hirundo,6
Common Yellowthroat,1,1,1,1,1,1,1,1,1,0,0,-1.039324467,-1.276616743,-0.814838843,0.447357389,-0.231631486,1.194462408,Geothlypis_trichas,6
Cooper's Hawk,1,1,1,1,1,1,1,1,1,0,0,2.571792668,2.412959919,2.735169729,-0.163749471,-0.470690854,0.150946684,Astur_cooperii,6
Costa's Hummingbird,1,1,1,1,1,1,1,1,1,0,0,3.864822837,2.489710432,5.412256875,1.119089349,-1.892287597,4.380861217,Calypte_costae,6
California Scrub-Jay,1,1,1,1,1,1,1,1,1,0,0,1.013902696,0.751894941,1.271429793,1.18654317,0.427919208,1.995765835,Aphelocoma_californica,6
Crested Auklet,1,1,1,0,0,0,0,0,0,,,,,,,,,Aethia_cristatella,2
Crested My,1,1,1,0,0,0,0,0,0,,,,,,,,,Acridotheres_cristatellus,2
Crissal Thrasher,1,1,1,1,1,1,1,1,1,0,0,-0.365763476,-0.982896644,0.249839604,0.316235461,-1.409170003,2.55786908,Toxostoma_crissale,6
Curve-billed Thrasher,1,1,1,1,1,1,1,1,1,0,0,-1.014712983,-1.465230767,-0.618700151,-0.502545626,-1.840450097,0.634322996,Toxostoma_curvirostre,6
Dark-eyed Junco,1,1,1,1,1,1,1,1,1,0,0,-0.2494183,-0.387256728,-0.123807453,-1.281642275,-1.679984206,-0.7325185,Junco_hyemalis,6
Dickcissel,1,1,1,1,1,1,1,1,1,0,0,-3.24618835,-4.508901778,-1.871277817,0.734605929,-5.155274067,7.550460233,Spiza_america,6
