ebird_spp_code,ebird_com_name,ebird_sci_name,total_counted,historic_cbc_com_name,lon_filter,lat_filter,prov_state_filter,bcr_filter,add_nocturnal,add_feeder,survey_suitability
whthaw,White-tailed Hawk,Geranoaetus albicaudatus,9614,White-tailed Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whtkit,White-tailed Kite,Elanus leucurus,91676,White-tailed Kite,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whtpta1,White-tailed Ptarmigan,Lagopus leucura,631,White-tailed Ptarmigan,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whtspa,White-throated Sparrow,Zonotrichia albicollis,10128925,White-throated Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
whtswi,White-throated Swift,Aeronautes saxatalis,211087,White-throated Swift,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whwcro,White-winged Crossbill,Loxia leucoptera,433559,"White-winged Crossbill,White-winged Crossbill (leucoptera)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
whwdov,White-winged Dove,Zenaida asiatica,1039420,White-winged Dove,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whwpar,White-winged Parakeet,Brotogeris versicolurus,1946,White-winged Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whwsco2,White-winged Scoter,Melanitta deglandi,2108374,"White-winged Scoter,White-winged Scoter (North American)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
willet1,Willet,Tringa semipalmata,1834818,"Willet,Willet (Eastern),Willet (Western)","-50,-180","90,20",!ZZ,!ZZ,0,0,
wilpha,Wilson's Phalarope,Phalaropus tricolor,1344,Wilson's Phalarope,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wilplo,Wilson's Plover,Anarhynchus wilsonia,18000,Wilson's Plover,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wilpta,Willow Ptarmigan,Lagopus lagopus,18539,"Willow Ptarmigan,Willow Ptarmigan (Willow)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
wilsap,Williamson's Sapsucker,Sphyrapicus thyroideus,1802,Williamson's Sapsucker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wiltur,Wild Turkey,Meleagris gallopavo,2254194,"Wild Turkey,Wild Turkey (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
winwre3,Winter Wren,Troglodytes hiemalis,65250,"Winter Wren,Pacific Wren,Pacific Wren (pacificus Group),Pacific/Winter Wren","-50,-108.9999","90,20",!ZZ,!ZZ,0,0,medium
wlswar,Wilson's Warbler,Cardellina pusilla,9028,"Wilson's Warbler,Wilson's Warbler (pileolata)","-50,-180","90,20",!ZZ,!ZZ,0,0,
woewar1,Worm-eating Warbler,Helmitheros vermivorum,197,Worm-eating Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wooduc,Wood Duck,Aix sponsa,969598,Wood Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wooscj2,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,100000,"Woodhouse's Scrub-Jay,California Scrub-Jay,Florida Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouse's)","-50,-180","90,20","AZ,NV,ID,UT,NM,CO,WY,TX",!ZZ,0,0,
woosto,Wood Stork,Mycteria americana,209920,Wood Stork,"-50,-180","90,20",!ZZ,!ZZ,0,0,
woothr,Wood Thrush,Hylocichla mustelina,412,Wood Thrush,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wrenti,Wrentit,Chamaea fasciata,297590,Wrentit,"-50,-180","90,20",!ZZ,!ZZ,0,0,
y00012,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,605308,"Western/Clark's Grebe,Western Grebe,Clark's Grebe","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00219,Arctic/Pacific Loon,Gavia arctica/pacifica,100000,"Arctic/Pacific Loon,Arctic Loon,Pacific Loon","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00222,American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva,662,"American/Pacific Golden-Plover (Lesser Golden-Plover),American Golden-Plover,Pacific Golden-Plover","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00325,Tropical/Couch's Kingbird,Tyrannus melancholicus/couchii,2334,"Tropical/Couch's Kingbird,Tropical Kingbird,Couch's Kingbird","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis,384726,"Cackling/Canada Goose,Cackling Goose,Cackling Goose (Aleutian),Cackling Goose (Richardson's),Cackling Goose (minima),Canada Goose,Canada Goose (moffitti/maxima),Canada Goose (occidentalis/fulva),Canada Goose (parvipes)","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00475,American Coot,Fulica americana,33403009,American Coot,"-50,-180","90,20",!ZZ,!ZZ,0,0,
y00477,Common/Wilson's Snipe,Gallinago gallinago/delicata,399152,"Common/Wilson's Snipe,Wilson's Snipe,Common Snipe,Wilson's/Common Snipe","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00478,Iceland Gull,Larus glaucoides,254926,"Iceland Gull,Iceland Gull (kumlieni),Thayer's Gull,Thayer's/Iceland Gull","-50,-180","90,20",!ZZ,!ZZ,0,0,low
y00483,White-winged/Yellow-chevroned Parakeet,Brotogeris versicolurus/chiriri,6248,"White-winged/Yellow-chevroned Parakeet,White-winged Parakeet,Yellow-chevroned Parakeet","-50,-180","90,20",!ZZ,!ZZ,0,0,
y00678,Crested Caracara,Caracara plancus,60419,Crested Caracara,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ycnher,Yellow-crowned Night Heron,Nyctanassa violacea,46280,"Yellow-crowned Night Heron,Yellow-crowned Night-Heron,Yellow-crowned Night-Heron (Yellow-crowned)","-50,-180","90,20",!ZZ,!ZZ,0,0,
yebcha,Yellow-breasted Chat,Icteria virens,2625,"Yellow-breasted Chat,Yellow-breasted Chat (auricollis)","-50,-180","90,20",!ZZ,!ZZ,0,0,
yebloo,Yellow-billed Loon,Gavia adamsii,1362,Yellow-billed Loon,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
yebmag,Yellow-billed Magpie,Pica nuttalli,260521,Yellow-billed Magpie,"-50,-180","90,20",!ZZ,!ZZ,0,0,
yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,405538,"Yellow-bellied Sapsucker,Red-naped Sapsucker,Red-breasted Sapsucker,Yellow-bellied/Red-naped Sapsucker,Red-naped/Red-breasted Sapsucker","-50,-101.9999","90,20",!ZZ,!ZZ,0,0,medium
yeejun,Yellow-eyed Junco,Junco phaeonotus,17326,Yellow-eyed Junco,"-50,-180","90,20",!ZZ,!ZZ,0,0,
yefgul,Yellow-footed Gull,Larus livens,354,Yellow-footed Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,
yehbla,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,986240,Yellow-headed Blackbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
yehpar,Yellow-headed Amazon,Amazona oratrix,885,"Yellow-headed Amazon,Yellow-headed Parrot","-50,-180","90,20",!ZZ,!ZZ,0,0,
yelrai,Yellow Rail,Coturnicops noveboracensis,897,Yellow Rail,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
yelwar,Yellow Warbler,Setophaga petechia,3768,"Yellow Warbler,Yellow Warbler (Golden),Yellow Warbler (Mangrove),Yellow Warbler (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
yerwar,Yellow-rumped Warbler,Setophaga coronata,2147659,"Yellow-rumped Warbler,Yellow-rumped Warbler (Audubon's),Yellow-rumped Warbler (Myrtle x Audubon's),Yellow-rumped Warbler (Myrtle)","-50,-180","90,20",!ZZ,!ZZ,0,0,
yetvir,Yellow-throated Vireo,Vireo flavifrons,762,Yellow-throated Vireo,"-50,-180","90,20",!ZZ,!ZZ,0,0,
yetwar,Yellow-throated Warbler,Setophaga dominica,26831,"Yellow-throated Warbler,Yellow-throated Warbler (albilora)","-50,-180","90,20",!ZZ,!ZZ,0,0,
zothaw,Zone-tailed Hawk,Buteo albonotatus,394,Zone-tailed Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
